                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     94,                0.87186,                0.41043,                0.98064,                 0.9241,                0.88362,                0.93497,                0.61749,                 1.2847,                0.51494,                 1.2473,              0.0063172,              0.0063172,              0.0063172
                     95,                0.87215,                0.40855,                0.97836,                0.91886,                0.88266,                0.93741,                0.62245,                 1.2908,                0.52179,                 1.2602,              0.0062776,              0.0062776,              0.0062776
                     96,                0.87448,                0.41452,                0.98339,                0.92305,                0.88828,                0.93465,                0.61516,                 1.2984,                0.52723,                 1.2693,               0.006238,               0.006238,               0.006238
                     97,                0.85845,                0.40268,                0.97581,                0.92332,                0.88326,                 0.9353,                0.61909,                 1.2869,                0.52124,                 1.2648,              0.0061984,              0.0061984,              0.0061984
                     98,                0.85874,                0.40428,                0.98261,                0.92814,                0.87522,                0.93666,                0.61981,                   1.29,                0.52159,                 1.2618,              0.0061588,              0.0061588,              0.0061588
                     99,                0.84347,                0.39341,                0.97707,                0.92903,                0.88246,                0.93816,                0.62138,                 1.2886,                0.51527,                 1.2617,              0.0061192,              0.0061192,              0.0061192
                    100,                0.85084,                0.39569,                0.96805,                 0.9191,                0.88967,                 0.9402,                0.62781,                 1.2868,                0.52021,                 1.2604,              0.0060796,              0.0060796,              0.0060796
                    101,                0.85046,                0.40224,                0.96901,                 0.9133,                0.89338,                0.93522,                0.61526,                 1.2847,                0.51935,                 1.2605,                0.00604,                0.00604,                0.00604
                    102,                0.83616,                0.39151,                0.96362,                0.91697,                0.88421,                0.93297,                 0.6175,                 1.2937,                 0.5305,                 1.2678,              0.0060004,              0.0060004,              0.0060004
                    103,                0.84156,                0.39483,                0.97513,                0.92199,                0.87917,                 0.9325,                0.61705,                 1.2868,                0.52838,                 1.2798,              0.0059608,              0.0059608,              0.0059608
                    104,                0.82599,                0.38803,                0.96599,                0.89761,                0.90432,                0.93167,                0.61955,                 1.2851,                0.52393,                 1.2709,              0.0059212,              0.0059212,              0.0059212
                    105,                0.82936,                0.38754,                0.96595,                0.92319,                0.88495,                 0.9323,                 0.6157,                 1.2949,                0.52453,                 1.2729,              0.0058816,              0.0058816,              0.0058816
                    106,                0.82281,                 0.3871,                0.96379,                0.92027,                0.87848,                0.93235,                0.61858,                 1.2957,                0.53112,                 1.2782,               0.005842,               0.005842,               0.005842
                    107,                0.81022,                0.38066,                0.95408,                0.90724,                0.88885,                0.93145,                0.61536,                 1.2964,                0.52471,                 1.2587,              0.0058024,              0.0058024,              0.0058024
                    108,                  0.806,                 0.3782,                0.95904,                0.91322,                 0.8913,                0.93408,                 0.6162,                 1.2997,                0.52755,                  1.272,              0.0057628,              0.0057628,              0.0057628
                    109,                0.81851,                 0.3898,                0.96104,                0.91241,                0.88958,                0.93545,                0.61973,                 1.2879,                0.52288,                 1.2684,              0.0057232,              0.0057232,              0.0057232
